id_registro,edad,genero,horas_diarias_juego,genero_juego,juego_principal,plataforma_juego,horas_sueno,calidad_sueno,frecuencia_interrupcion_sueno,rendimiento_academico_laboral,promedio_calificaciones,puntaje_productividad,estado_animo,frecuencia_cambios_humor,sintomas_abstinencia,perdida_otros_intereses,continuo_pese_problemas,fatiga_visual,dolor_espalda_cuello,cambio_peso_kg,horas_ejercicio_semanal,puntaje_aislamiento_social,horas_socializacion_presencial,gasto_mensual_juegos_usd,anos_jugando,nivel_riesgo_adiccion
GD0089,18,Femenino,5.9,Strategy,StarCraft II,PC,6.5,Mala,Rara vez,Promedio,2.46,,Normal,Nunca,NO,SI,NO,SI,NO,0.4,7.4,4,4.9,96.37,4,Moderado
GD0090,22,Femenino,8.1,Juegos móviles,Candy Crush,Móvil,3.1,Regular,Aveces,Reprobando,3.21,6,Ansioso,A veces,NO,SI,NO,SI,NO,0.3,6.8,5,5.1,67.48,1,Moderado
GD0092,17,Femenino,8.9,Strategy,Civilization VI,PC,5.9,Regular,Nunca,Bueno,3.26,,Inquieto,Nunca,SI,NO,NO,SI,SI,5.7,5.3,5,2.7,254.42,5,Alto
GD0093,26,Femenino,5.9,Juegos móviles,Clash of Clans,Consola,6.1,Buena,Siempre,Bueno,,10,Emocionado,A veces,NO,SI,NO,NO,NO,0.5,5.2,5,8.4,83.67,14,Moderado
GD0094,21,Femenino,4.9,Strategy,StarCraft II,Móvil,6.1,Regular,Siempre,Reprobando,3.53,5,Retraído,Rara vez,NO,NO,NO,SI,NO,0.3,9.1,2,7.6,56.37,8,Bajo
GD0100,27,Femenino,6.3,Juegos móviles,Candy Crush,PC,6.3,Muy Mala,Frecuentemente,Promedio,,10,Deprimido,Diariamente,NO,NO,NO,SI,NO,1.3,8,2,10.2,21.12,2,Bajo
GD0103,19,Femenino,7.1,MMO,Elder Scrolls Online,PC,5,Mala,Rara vez,Bueno,2.66,1,Irritable,A veces,SI,SI,NO,NO,SI,0.1,5.3,4,6,112.86,8,Alto
GD0104,19,Femenino,8,RPG,Elden Ring,PC,3.4,Muy Mala,Nunca,Deficiente,2.53,6,Inquieto,Frecuentemente,SI,SI,NO,SI,SI,0,6.6,4,2.6,26.81,3,Alto
GD0105,21,Femenino,4.8,Battle Royale,Warzone,Móvil,6.6,Regular,Frecuentemente,Por debajo del promedio,1.08,5,Emocionado,Rara vez,NO,NO,NO,NO,NO,3.6,6.1,2,10.9,48.19,1,Bajo
GD0106,17,Femenino,9.8,Battle Royale,Warzone,PC,5,Muy Mala,Siempre,Deficiente,3.66,,Ansioso,Diariamente,SI,SI,NO,NO,NO,5.2,6.8,7,3.4,114.88,7,Severo
GD0107,14,Femenino,2.9,FPS,Valorant,Móvil,7.9,Buena,Nunca,Excelente,1.37,,Deprimido,Diariamente,NO,NO,NO,NO,NO,0.5,9.4,3,8.7,24.6,3,Bajo
GD0108,19,Femenino,6.8,Battle Royale,PUBG,Multi-plataforma,3.7,Mala,Nunca,Reprobando,2.96,7,Enojado,Rara vez,SI,NO,NO,SI,SI,1.9,6.4,4,4.7,127,9,Moderado
GD0111,16,Femenino,5.4,Battle Royale,Fortnite,PC,6.7,Buena,Rara vez,Por debajo del promedio,2.85,,Normal,Rara vez,NO,NO,NO,SI,NO,0.4,7.9,3,11,147.65,3,Bajo
GD0112,31,Femenino,5.5,MOBA,League of Legends,PC,6.8,Regular,Rara vez,Bueno,,8,Normal,Nunca,NO,SI,NO,SI,SI,3.3,6.4,4,10.2,126.15,20,Moderado
GD0114,20,Femenino,9.2,Juegos móviles,Genshin Impact,Multi-plataforma,5.8,Muy Mala,Frecuentemente,Por debajo del promedio,2.98,6,Retraído,Diariamente,SI,NO,NO,SI,SI,0.3,7,6,3.6,177.45,5,Alto
GD0116,22,Femenino,8.4,MMO,World of Warcraft,Móvil,4.2,Muy Mala,Siempre,Reprobando,2.57,3,Irritable,Nunca,NO,SI,SI,SI,NO,1.3,5.6,6,3.4,82.28,8,Alto
GD0124,14,Femenino,7.7,RPG,Skyrim,Multi-plataforma,5.6,Mala,Nunca,Deficiente,1.96,,Inquieto,Nunca,SI,SI,NO,SI,SI,3.8,6.5,5,8.1,25.58,2,Alto
GD0125,20,Femenino,10,MMO,Final Fantasy XIV,Consola,5.5,Buena,Siempre,Deficiente,2.19,4,Retraído,A veces,SI,NO,SI,NO,NO,4.4,3.6,6,2,358.72,5,Severo
GD0128,19,Femenino,4.3,MMO,World of Warcraft,Consola,6.7,Muy Mala,Aveces,Promedio,3.31,8,Normal,Nunca,NO,NO,NO,NO,NO,1.5,9.6,2,13,48,6,Bajo
GD0130,18,Femenino,3.6,Juegos móviles,Clash of Clans,Consola,6.3,Regular,Nunca,Por debajo del promedio,1.74,,Deprimido,Frecuentemente,NO,NO,NO,NO,NO,0.7,6,2,8.7,13.53,3,Bajo
GD0131,20,Femenino,6.9,RPG,Cyberpunk 2077,Multi-plataforma,4.9,Buena,Frecuentemente,Bueno,3.11,10,Ansioso,Diariamente,NO,NO,NO,SI,SI,1,6.9,4,6.5,22.1,10,Bajo
GD0135,16,Femenino,3.6,Strategy,Civilization VI,Móvil,5.5,Muy Mala,Siempre,Bueno,4,,Eufórico,Diariamente,NO,NO,NO,NO,NO,0.6,9.8,3,10.2,20.78,4,Bajo
GD0148,30,Femenino,6.6,MMO,Final Fantasy XIV,PC,5.2,Muy Mala,Rara vez,Deficiente,,7,Emocionado,Nunca,SI,NO,NO,SI,SI,1.3,6.5,5,6.8,11.24,15,Moderado
GD0153,16,Femenino,6.4,MOBA,Mobile Legends,PC,5.4,Regular,Rara vez,Por debajo del promedio,3.34,,Normal,Frecuentemente,NO,NO,NO,NO,NO,0.1,8.3,3,8,34.14,6,Bajo
GD0157,16,Femenino,2.2,FPS,Call of Duty,Multi-plataforma,7.7,Regular,Aveces,Excelente,1.45,,Normal,A veces,NO,NO,NO,NO,NO,0.1,8.6,1,11.1,31.73,6,Bajo
GD0163,22,Femenino,6.3,MOBA,Mobile Legends,Consola,5.5,Regular,Aveces,Por debajo del promedio,3.98,4,Inquieto,Nunca,NO,NO,NO,SI,SI,0.2,9,2,9.7,53.06,7,Bajo
GD0165,21,Femenino,8.4,RPG,Elden Ring,Consola,5.7,Mala,Frecuentemente,Reprobando,3.14,9,Ansioso,Rara vez,SI,SI,NO,SI,NO,0.6,4.8,5,6.3,128.87,2,Alto
GD0176,19,Femenino,2.9,Strategy,Civilization VI,Multi-plataforma,8,Buena,Siempre,Excelente,3.29,10,Enojado,Rara vez,NO,NO,NO,NO,NO,0,8.8,1,9.7,35.81,9,Bajo
GD0179,22,Femenino,8.2,MOBA,League of Legends,Multi-plataforma,4.2,Mala,Rara vez,Deficiente,2.27,6,Retraído,Rara vez,NO,SI,NO,SI,SI,1.9,4.2,5,7.8,77.94,5,Moderado
GD0180,19,Femenino,3.1,MOBA,League of Legends,Móvil,7.2,Buena,Aveces,Excelente,3.51,1,Eufórico,A veces,NO,NO,NO,NO,NO,1.2,9.1,1,9.7,15.06,1,Bajo
GD0181,22,Femenino,7.3,Strategy,Age of Empires,Móvil,3,Mala,Nunca,Excelente,2.15,5,Enojado,A veces,SI,NO,NO,SI,SI,0.7,7.9,4,8.8,31.57,12,Moderado
GD0182,17,Femenino,10.9,MMO,Elder Scrolls Online,Móvil,3.8,Mala,Frecuentemente,Por debajo del promedio,3.21,,Irritable,Diariamente,SI,SI,SI,SI,SI,3.5,3.7,6,1.1,232.94,2,Severo
GD0186,19,Femenino,7,Strategy,Age of Empires,Multi-plataforma,4.1,Muy Mala,Rara vez,Por debajo del promedio,1.42,4,Inquieto,A veces,SI,NO,NO,SI,NO,0,8.4,4,5.4,45.66,8,Moderado
GD0187,16,Femenino,2,RPG,Elden Ring,Móvil,7.6,Regular,Rara vez,Excelente,1.23,,Normal,Diariamente,NO,NO,NO,NO,NO,0.1,9.9,3,12.7,23.53,5,Bajo
GD0193,18,Femenino,1.5,Strategy,StarCraft II,Móvil,7,Buena,Nunca,Promedio,1.24,,Irritable,Diariamente,NO,NO,NO,NO,NO,0.3,11.5,1,13.6,32,7,Bajo
GD0195,21,Femenino,3.7,Battle Royale,Apex Legends,Multi-plataforma,5.8,Mala,Nunca,Deficiente,2.84,8,Enojado,Nunca,NO,NO,NO,NO,NO,0.4,8,3,7.4,24.63,10,Bajo
GD0198,24,Femenino,6.2,Strategy,StarCraft II,PC,5.9,Regular,Siempre,Promedio,,4,Ansioso,Rara vez,NO,NO,NO,NO,SI,0.7,7.8,2,7.3,129.73,12,Bajo
GD0200,21,Femenino,6,MOBA,Mobile Legends,Móvil,6.7,Regular,Siempre,Excelente,2.41,3,Irritable,Frecuentemente,NO,NO,NO,NO,NO,0.8,6.1,3,10.3,108.18,3,Bajo
GD0205,19,Femenino,4,Strategy,StarCraft II,PC,6.9,Regular,Frecuentemente,Promedio,1.85,1,Enojado,Diariamente,NO,NO,NO,NO,NO,0.4,6.6,2,8.2,46.13,4,Bajo
GD0206,14,Femenino,4.7,MOBA,Dota 2,Móvil,5.5,Mala,Aveces,Bueno,3.44,,Retraído,A veces,NO,NO,NO,SI,NO,1.1,7.3,3,8.3,87.51,4,Bajo
GD0215,19,Femenino,4.3,MMO,Final Fantasy XIV,Móvil,5.3,Regular,Aveces,Promedio,3.09,3,Normal,A veces,NO,NO,NO,NO,NO,1.3,6.3,3,8.1,12.63,5,Bajo
GD0224,20,Femenino,2.7,Battle Royale,Warzone,PC,7.1,Regular,Rara vez,Bueno,3.38,2,Normal,Frecuentemente,NO,NO,NO,NO,NO,0.6,6.6,2,13.9,37.91,7,Bajo
GD0226,20,Femenino,0.5,Strategy,Age of Empires,Móvil,8.7,Buena,Nunca,Bueno,3.88,3,Irritable,Diariamente,NO,NO,NO,NO,NO,0.4,10.4,1,15,22.38,10,Bajo
GD0228,19,Femenino,7.8,MOBA,League of Legends,Móvil,4.2,Regular,Aveces,Deficiente,2.89,6,Deprimido,Frecuentemente,NO,NO,NO,NO,NO,0.1,4.7,4,8.3,135.38,6,Bajo
GD0229,20,Femenino,3.5,MOBA,Mobile Legends,Consola,5,Mala,Nunca,Promedio,3.22,3,Inquieto,Frecuentemente,NO,NO,NO,NO,NO,1,10,2,8.5,48.25,10,Bajo
GD0232,19,Femenino,8.7,RPG,Cyberpunk 2077,PC,4.2,Regular,Siempre,Deficiente,1.97,10,Ansioso,Diariamente,NO,SI,NO,NO,NO,5.5,4.8,6,7.2,428.62,4,Alto
GD0234,18,Femenino,5.9,FPS,Overwatch,Móvil,5.2,Regular,Siempre,Promedio,2.37,,Eufórico,Frecuentemente,NO,SI,NO,SI,SI,3.1,6.2,3,6.1,25.16,6,Moderado
GD0238,26,Femenino,8.8,MMO,Elder Scrolls Online,PC,4.9,Mala,Frecuentemente,Promedio,,9,Eufórico,Rara vez,SI,SI,SI,NO,SI,3.5,5.9,6,1.6,430.82,14,Severo
GD0239,20,Femenino,5.7,RPG,Elden Ring,Móvil,5.5,Regular,Aveces,Promedio,2.25,3,Eufórico,Diariamente,NO,SI,NO,NO,SI,0.3,8.7,5,8.5,60.72,2,Moderado
GD0240,22,Femenino,10.9,FPS,Call of Duty,PC,5.2,Muy Mala,Nunca,Deficiente,3.74,9,Irritable,Nunca,SI,SI,NO,SI,SI,3,5.2,8,0,247.59,7,Severo
GD0244,19,Femenino,9.3,FPS,CS:GO,Multi-plataforma,3,Mala,Aveces,Deficiente,3.51,5,Irritable,Diariamente,SI,NO,NO,SI,NO,2.3,6.1,5,4.6,195.86,3,Alto
GD0245,33,Femenino,2.7,FPS,Overwatch,Móvil,8.7,Buena,Rara vez,Bueno,,6,Normal,Rara vez,NO,NO,NO,NO,NO,1,8.3,2,10.7,31.35,20,Bajo
GD0247,20,Femenino,8.9,Strategy,Civilization VI,Móvil,4.3,Regular,Rara vez,Deficiente,3.28,1,Enojado,Rara vez,SI,NO,SI,SI,SI,3.4,6.9,5,4.7,131.33,2,Severo
GD0250,25,Femenino,3.9,Battle Royale,PUBG,Consola,6.3,Mala,Siempre,Promedio,,2,Irritable,Frecuentemente,NO,NO,NO,NO,NO,0.2,8.2,2,12.4,17.57,9,Bajo
GD0253,18,Femenino,7.3,Juegos móviles,Candy Crush,Móvil,4.7,Muy Mala,Siempre,Excelente,2.27,,Irritable,Nunca,SI,SI,NO,SI,NO,2.8,6.4,5,5,81.74,6,Alto
GD0254,23,Femenino,2,MOBA,Mobile Legends,Consola,8.7,Regular,Aveces,Excelente,,10,Emocionado,Diariamente,NO,NO,NO,NO,NO,0.5,10.6,1,13.7,20.74,11,Bajo
GD0260,13,Femenino,5.2,Juegos móviles,PUBG Mobile,Multi-plataforma,5.5,Regular,Siempre,Promedio,3.1,,Normal,Nunca,NO,NO,NO,SI,NO,1.3,8.9,3,8.8,92.86,3,Bajo
GD0263,26,Femenino,8.2,Juegos móviles,Clash of Clans,Multi-plataforma,4.1,Muy Mala,Frecuentemente,Promedio,,9,Ansioso,Diariamente,NO,NO,NO,NO,SI,0.2,7,5,8,134.24,14,Bajo
GD0268,20,Femenino,7.5,Juegos móviles,Candy Crush,Multi-plataforma,4.3,Muy Mala,Rara vez,Deficiente,1.41,2,Retraído,Diariamente,SI,SI,NO,SI,NO,5,7.5,4,3.6,83.3,7,Alto
GD0269,32,Femenino,6.6,FPS,CS:GO,PC,3.7,Mala,Rara vez,Promedio,,3,Irritable,Frecuentemente,SI,SI,NO,SI,SI,0.9,5.2,6,9.4,77.47,6,Alto
GD0270,20,Femenino,2.8,FPS,Valorant,Consola,8,Buena,Nunca,Por debajo del promedio,1.18,4,Emocionado,Diariamente,NO,NO,NO,NO,NO,1.3,6.5,3,10,13.4,9,Bajo
GD0271,25,Femenino,12.6,Battle Royale,Warzone,PC,4.8,Muy Mala,Aveces,Promedio,,2,Eufórico,Rara vez,SI,SI,SI,SI,SI,0.5,4.5,7,0,438.13,3,Severo
GD0273,27,Femenino,5.4,FPS,CS:GO,Multi-plataforma,5.3,Buena,Aveces,Promedio,,7,Deprimido,Frecuentemente,NO,NO,NO,NO,NO,1,9.5,3,11.3,106.06,8,Bajo
GD0275,25,Femenino,9.4,RPG,Cyberpunk 2077,Móvil,4.8,Mala,Aveces,Por debajo del promedio,,9,Deprimido,Rara vez,NO,NO,NO,SI,SI,1.7,7.4,6,4.4,469.94,3,Moderado
GD0277,22,Femenino,5.1,RPG,Skyrim,Consola,6.7,Buena,Rara vez,Promedio,2.54,2,Enojado,Frecuentemente,NO,NO,NO,SI,NO,0.4,5.7,3,9.8,24.45,1,Bajo
GD0278,19,Femenino,1.9,RPG,Cyberpunk 2077,Móvil,7.4,Buena,Aveces,Bueno,1.14,8,Enojado,Nunca,NO,NO,NO,NO,NO,0.5,7.4,2,15.3,23.64,2,Bajo
GD0281,26,Femenino,2.9,Battle Royale,PUBG,PC,9,Regular,Siempre,Bueno,,6,Normal,Diariamente,NO,NO,NO,NO,NO,0.8,9.7,3,14.3,33.83,14,Bajo
GD0290,21,Femenino,1.9,FPS,Valorant,Multi-plataforma,8.7,Buena,Rara vez,Bueno,3.9,3,Retraído,Nunca,NO,NO,NO,NO,NO,0.1,9.7,1,14.5,16.75,7,Bajo
GD0296,19,Femenino,5.4,MOBA,Mobile Legends,Consola,6.4,Regular,Rara vez,Promedio,2.94,3,Irritable,Nunca,NO,NO,NO,SI,NO,0.2,6.7,3,11.1,144.36,7,Bajo
GD0300,24,Femenino,8.6,RPG,Cyberpunk 2077,PC,3.8,Mala,Nunca,Bueno,,7,Irritable,Diariamente,SI,SI,NO,SI,SI,1.7,5,7,6.9,142.09,12,Severo
GD0301,22,Femenino,3.8,RPG,Cyberpunk 2077,Multi-plataforma,5.4,Mala,Nunca,Promedio,1.25,8,Irritable,Frecuentemente,NO,NO,NO,NO,NO,1.5,6.4,2,12.9,16.03,8,Bajo
GD0304,20,Femenino,7,Strategy,StarCraft II,Consola,3.7,Insomnio,Rara vez,Deficiente,1.73,5,Ansioso,Nunca,SI,SI,NO,SI,NO,0.5,6.2,5,4.9,99.51,8,Alto
GD0309,25,Femenino,6.6,Juegos móviles,Candy Crush,Multi-plataforma,5.3,Mala,Frecuentemente,Deficiente,,9,Inquieto,Rara vez,SI,SI,NO,NO,SI,2.9,6.4,4,9.2,33.83,2,Alto
GD0311,19,Femenino,4.8,MMO,World of Warcraft,PC,6.5,Muy Mala,Nunca,Bueno,2.02,3,Eufórico,Nunca,NO,NO,NO,SI,NO,2,7.9,4,7,111.95,5,Bajo
GD0313,19,Femenino,2.3,MMO,Final Fantasy XIV,Móvil,8.3,Muy Mala,Rara vez,Por debajo del promedio,1.48,7,Irritable,A veces,NO,NO,NO,NO,NO,0.1,9.7,1,11.5,13.66,9,Bajo
GD0316,15,Femenino,6.8,MOBA,Dota 2,PC,5.3,Buena,Aveces,Por debajo del promedio,3.27,,Ansioso,Nunca,NO,NO,NO,NO,SI,1.7,6.6,3,6.1,125.63,5,Bajo
GD0322,20,Femenino,5.2,FPS,Valorant,Multi-plataforma,5.3,Buena,Frecuentemente,Por debajo del promedio,2.76,7,Normal,A veces,NO,NO,NO,NO,NO,1.2,7.2,4,6.5,38.79,2,Bajo
GD0327,14,Femenino,12.2,Battle Royale,PUBG,Consola,4,Buena,Aveces,Promedio,3.98,,Deprimido,Frecuentemente,SI,NO,NO,SI,SI,1.3,2.4,7,0,98.66,2,Alto
GD0329,20,Femenino,5.5,FPS,Call of Duty,Multi-plataforma,6.3,Regular,Aveces,Deficiente,3.78,8,Normal,Frecuentemente,NO,NO,NO,SI,NO,2.5,7.3,3,6,88.16,1,Bajo
GD0331,27,Femenino,0.6,Strategy,Age of Empires,Consola,7.1,Muy Mala,Nunca,Por debajo del promedio,,9,Eufórico,Rara vez,NO,NO,NO,NO,NO,0.2,8,1,13.6,43.71,12,Bajo
GD0332,20,Femenino,4.4,Juegos móviles,PUBG Mobile,Móvil,6.2,Regular,Frecuentemente,Por debajo del promedio,1.76,3,Enojado,Frecuentemente,NO,NO,NO,NO,NO,1,6.2,2,8.6,40.73,6,Bajo
GD0335,18,Femenino,6.5,Strategy,Civilization VI,PC,5.3,Muy Mala,Nunca,Por debajo del promedio,1.71,,Ansioso,Rara vez,NO,NO,NO,SI,NO,0.7,7.8,5,9.1,143.92,4,Bajo
GD0338,23,Femenino,7,Strategy,StarCraft II,Móvil,3.3,Muy Mala,Frecuentemente,Deficiente,,4,Ansioso,Nunca,NO,SI,NO,SI,SI,0,6.1,5,8.8,134.49,13,Moderado
GD0345,27,Femenino,0.6,RPG,Elden Ring,Móvil,9,Regular,Rara vez,Excelente,,10,Eufórico,A veces,NO,NO,NO,NO,NO,0.2,9.1,1,11.7,36.67,11,Bajo
GD0348,17,Femenino,10.6,Strategy,Civilization VI,Consola,3.6,Regular,Rara vez,Deficiente,2.62,,Deprimido,A veces,NO,NO,NO,SI,NO,1.5,3.6,6,3.8,53.97,3,Moderado
GD0349,23,Femenino,4.4,FPS,CS:GO,Multi-plataforma,7,Muy Mala,Siempre,Por debajo del promedio,,9,Irritable,Nunca,NO,NO,NO,NO,NO,1.1,9.6,3,9.6,22.6,12,Bajo
GD0354,20,Femenino,6.3,MMO,Final Fantasy XIV,Consola,6.6,Buena,Rara vez,Promedio,3.3,3,Eufórico,Rara vez,NO,SI,NO,SI,NO,1.8,8.5,3,7.6,12.48,5,Moderado
GD0356,19,Femenino,5,Battle Royale,PUBG,PC,5.4,Mala,Rara vez,Promedio,2.59,9,Irritable,Frecuentemente,NO,NO,NO,SI,NO,2,8.4,2,8.7,36.55,4,Bajo
GD0359,23,Femenino,4.6,MMO,World of Warcraft,Multi-plataforma,5.9,Buena,Nunca,Reprobando,,2,Deprimido,A veces,NO,NO,NO,SI,NO,0.6,7.2,5,11.8,90.9,7,Bajo
GD0367,22,Femenino,3.9,FPS,CS:GO,Móvil,6.7,Mala,Aveces,Promedio,2.05,1,Ansioso,A veces,NO,NO,NO,NO,NO,1.1,7.6,1,7.5,7.34,1,Bajo
GD0368,14,Femenino,9.4,MOBA,Dota 2,Multi-plataforma,4,Mala,Frecuentemente,Reprobando,3.48,,Enojado,Rara vez,SI,SI,NO,SI,SI,3.3,6.2,5,4.8,497.21,2,Severo
GD0370,21,Femenino,8.4,Battle Royale,PUBG,Móvil,4.8,Mala,Rara vez,Excelente,3.34,9,Deprimido,Frecuentemente,SI,NO,NO,SI,NO,3.1,7.5,4,6.3,21.6,2,Moderado
GD0371,20,Femenino,2.1,Strategy,StarCraft II,PC,8.5,Buena,Nunca,Bueno,1.85,8,Emocionado,Diariamente,NO,NO,NO,NO,NO,0.4,9.3,1,13,5.6,2,Bajo
GD0372,18,Femenino,4.1,Battle Royale,PUBG,PC,6.6,Mala,Frecuentemente,Deficiente,3.98,,Deprimido,Frecuentemente,NO,NO,NO,NO,NO,1,9.6,3,12.5,9.84,3,Bajo
GD0374,21,Femenino,6.8,Battle Royale,Fortnite,Consola,3.6,Regular,Aveces,Deficiente,1.49,8,Eufórico,Rara vez,SI,SI,NO,SI,NO,0.9,4.7,5,5.7,113.4,1,Alto
